mods_id,xi,omega,alpha,name,value,params_1,wl_weight,post_tx_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,bio_weight,abo_weight,height_weight,cost_weight,distance_weight,method
wait_death,121.23156354950312,14.18689048298463,0.8975828983532618,hgt_cat,"(-Inf,62.2]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,15.325467846530072,2.1001135925850973,1.5859907923947114,hgt_cat,"(-Inf,62.2]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,78.49031863680835,6.613045109756981,1.2441516029077986,hgt_cat,"(-Inf,62.2]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,119.29216383240625,10.507960539829105,1.330781968134951,hgt_cat,"(-Inf,62.2]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,208.0027870608559,13.805684754083313,0.8764981775244766,hgt_cat,"(-Inf,62.2]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,65.78103522505386,10.919338635764586,1.3134896286408086,hgt_cat,"(-Inf,62.2]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,9.376653187871677,1.464653756916907,1.122843181976846,hgt_cat,"(-Inf,62.2]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,1561.2104803129562,47.72722577386591,0.859744636962654,hgt_cat,"(62.2,65]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,1063.5616510012353,36.27093418785603,-0.7021366732104312,hgt_cat,"(62.2,65]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,128.12717252553077,15.273008396740272,1.172669765406908,hgt_cat,"(62.2,65]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,12.905361417241318,1.9382089016192172,1.8613567276120695,hgt_cat,"(62.2,65]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
