wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,params_1,match_alg_name
0.15,0.35,0,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,104,PRE_ABO_CAS
0.15,0.35,0,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,105,PRE_ABO_CAS
0.15,0.35,0,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,106,PRE_ABO_CAS
0.15,0.35,0.05,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,107,PRE_ABO_CAS
0.15,0.35,0.05,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,108,PRE_ABO_CAS
0.15,0.35,0.05,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,109,PRE_ABO_CAS
0.15,0.35,0.05,0.15,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,110,PRE_ABO_CAS
0.15,0.35,0.1,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,111,PRE_ABO_CAS
0.15,0.35,0.1,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,112,PRE_ABO_CAS
0.15,0.35,0.1,0.1,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,113,PRE_ABO_CAS
0.15,0.35,0.15,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,114,PRE_ABO_CAS
0.15,0.35,0.15,0.05,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,115,PRE_ABO_CAS
0.15,0.35,0.2,0,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,116,PRE_ABO_CAS
0.2,0.15,0,0.05,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,117,PRE_ABO_CAS
0.2,0.15,0,0.1,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,118,PRE_ABO_CAS
0.2,0.15,0,0.15,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,119,PRE_ABO_CAS
0.2,0.15,0,0.2,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,120,PRE_ABO_CAS
0.2,0.15,0,0.25,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,121,PRE_ABO_CAS
0.2,0.15,0,0.3,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,122,PRE_ABO_CAS
0.2,0.15,0.05,0,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,123,PRE_ABO_CAS
0.2,0.15,0.05,0.05,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,124,PRE_ABO_CAS
0.2,0.15,0.05,0.1,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,125,PRE_ABO_CAS
0.2,0.15,0.05,0.15,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,126,PRE_ABO_CAS
0.2,0.15,0.05,0.2,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,127,PRE_ABO_CAS
0.2,0.15,0.05,0.25,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,128,PRE_ABO_CAS
0.2,0.15,0.1,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,129,PRE_ABO_CAS
0.2,0.15,0.1,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,130,PRE_ABO_CAS
0.2,0.15,0.1,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,131,PRE_ABO_CAS
0.2,0.15,0.1,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,132,PRE_ABO_CAS
0.2,0.15,0.1,0.2,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,133,PRE_ABO_CAS
0.2,0.15,0.15,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,134,PRE_ABO_CAS
0.2,0.15,0.15,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,135,PRE_ABO_CAS
0.2,0.15,0.15,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,136,PRE_ABO_CAS
0.2,0.15,0.15,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,137,PRE_ABO_CAS
0.2,0.15,0.2,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,138,PRE_ABO_CAS
0.2,0.15,0.2,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,139,PRE_ABO_CAS
0.2,0.15,0.2,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,140,PRE_ABO_CAS
0.2,0.15,0.25,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,141,PRE_ABO_CAS
0.2,0.15,0.25,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,142,PRE_ABO_CAS
0.2,0.15,0.3,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,143,PRE_ABO_CAS
0.2,0.2,0,0,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,144,PRE_ABO_CAS
0.2,0.2,0,0.05,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,145,PRE_ABO_CAS
